p,rate_0.05,rate_0.10,rate_0.20
0.446177,1e-06,8.6e-05,0.030385
0.446945,1e-06,8.2e-05,0.029468
0.447713,1e-06,7.9e-05,0.028577
0.448481,1e-06,7.5e-05,0.027709
0.449249,1e-06,7.2e-05,0.026866
0.450017,1e-06,6.9e-05,0.026047
0.450785,1e-06,6.6e-05,0.02525
0.451553,1e-06,6.3e-05,0.024475
0.452321,1e-06,6.1e-05,0.023722
0.453088,1e-06,5.8e-05,0.02299
0.453856,1e-06,5.6e-05,0.022279
0.454624,1e-06,5.3e-05,0.021588
0.455392,1e-06,5.1e-05,0.020917
0.45616,1e-06,4.9e-05,0.020265
0.456928,1e-06,4.7e-05,0.019631
0.457696,1e-06,4.5e-05,0.019016
0.458464,1e-06,4.3e-05,0.018418
0.459232,0.0,4.1e-05,0.017838
0.46,0.0,3.9e-05,0.017274
