case,fixed_policy_expected_cost,belief_mdp_expected_cost,cost_saving,relative_saving_percent,fixed_baseline_source
1,37.077778000,37.077778779,0.000000000,0.000000,git commit 53166ac
2,44.000000000,44.000000000,0.000000000,0.000000,git commit 53166ac
3,39.411111000,39.346663882,0.064447118,0.163525,git commit 53166ac
4,41.250000000,41.250000000,0.000000000,0.000000,git commit 53166ac
5,40.550000000,40.550000376,0.000000000,0.000000,git commit 53166ac
6,34.321330000,34.321329640,0.000000000,0.000000,git commit 53166ac
