model,population_size,sample_size,nominal_defect_rate,acceptable_defectives,first_unacceptable_defectives,accept_confidence,reject_confidence,accept_alpha,reject_alpha,accept_cutoff,reject_cutoff,accept_tail_at_cutoff,accept_tail_after_cutoff,reject_tail_at_cutoff,reject_tail_before_cutoff,inconclusive_low,inconclusive_high,accept_constraint_ok,reject_constraint_ok,accept_boundary_maximal_ok,reject_boundary_minimal_ok,disjoint_regions_ok,has_accept_region,has_reject_region,has_both_regions
binomial,,1,0.1,,,0.9,0.95,0.09999999999999998,0.050000000000000044,,,,,,,0,1,True,True,True,True,True,False,False,False
binomial,,2,0.1,,,0.9,0.95,0.09999999999999998,0.050000000000000044,,2,,,0.010000000000000005,0.19,0,1,True,True,True,True,True,False,True,False
binomial,,3,0.1,,,0.9,0.95,0.09999999999999998,0.050000000000000044,,2,,,0.02800000000000003,0.27100000000000024,0,1,True,True,True,True,True,False,True,False
binomial,,4,0.1,,,0.9,0.95,0.09999999999999998,0.050000000000000044,,3,,,0.0036999999999999984,0.05230000000000004,0,2,True,True,True,True,True,False,True,False
binomial,,5,0.1,,,0.9,0.95,0.09999999999999998,0.050000000000000044,,3,,,0.008560000000000003,0.08146000000000002,0,2,True,True,True,True,True,False,True,False
binomial,,6,0.1,,,0.9,0.95,0.09999999999999998,0.050000000000000044,,3,,,0.015850000000000013,0.11426500000000027,0,2,True,True,True,True,True,False,True,False
binomial,,7,0.1,,,0.9,0.95,0.09999999999999998,0.050000000000000044,,3,,,0.025691500000000034,0.14969440000000003,0,2,True,True,True,True,True,False,True,False
binomial,,8,0.1,,,0.9,0.95,0.09999999999999998,0.050000000000000044,,3,,,0.038091789999999986,0.18689526999999984,0,2,True,True,True,True,True,False,True,False
binomial,,9,0.1,,,0.9,0.95,0.09999999999999998,0.050000000000000044,,4,,,0.008331093999999994,0.052972137999999905,0,3,True,True,True,True,True,False,True,False
binomial,,10,0.1,,,0.9,0.95,0.09999999999999998,0.050000000000000044,,4,,,0.01279519839999998,0.0701908263999999,0,3,True,True,True,True,True,False,True,False
binomial,,11,0.1,,,0.9,0.95,0.09999999999999998,0.050000000000000044,,4,,,0.018534761199999986,0.08956185085,0,3,True,True,True,True,True,False,True,False
binomial,,12,0.1,,,0.9,0.95,0.09999999999999998,0.050000000000000044,,4,,,0.02563747016500002,0.11086997774500018,0,3,True,True,True,True,True,False,True,False
binomial,,13,0.1,,,0.9,0.95,0.09999999999999998,0.050000000000000044,,4,,,0.03416072092300004,0.13388275479160006,0,3,True,True,True,True,True,False,True,False
binomial,,14,0.1,,,0.9,0.95,0.09999999999999998,0.050000000000000044,,4,,,0.04413292430986003,0.15835998128661988,0,3,True,True,True,True,True,False,True,False
binomial,,15,0.1,,,0.9,0.95,0.09999999999999998,0.050000000000000044,,5,,,0.012720483641251026,0.05555563000753601,0,4,True,True,True,True,True,False,True,False
binomial,,16,0.1,,,0.9,0.95,0.09999999999999998,0.050000000000000044,,5,,,0.017003998277879507,0.06840617391742158,0,4,True,True,True,True,True,False,True,False
binomial,,17,0.1,,,0.9,0.95,0.09999999999999998,0.050000000000000044,,5,,,0.02214421584183376,0.08264062255606415,0,4,True,True,True,True,True,False,True,False
binomial,,18,0.1,,,0.9,0.95,0.09999999999999998,0.050000000000000044,,5,,,0.028193856513256822,0.09819684142543766,0,4,True,True,True,True,True,False,True,False
binomial,,19,0.1,,,0.9,0.95,0.09999999999999998,0.050000000000000044,,5,,,0.035194155004474835,0.11499755780436127,0,4,True,True,True,True,True,False,True,False
binomial,,20,0.1,,,0.9,0.95,0.09999999999999998,0.050000000000000044,,5,,,0.04317449528446352,0.13295332343433572,0,4,True,True,True,True,True,False,True,False
