case,n,fixed_best_strategy,fixed_best_expected_profit,bayes_best_strategy,bayes_best_expected_profit,bayes_profit_sd,bayes_profit_q05,matches_fixed_best,strategy_changed
1,40,1101,18.111111,1101,16.899511,1.876434,13.444845,1,0
2,40,1101,12.0,1101,10.517642,3.04667,5.054317,1,0
3,40,1101,15.444444,1111,14.292248,1.752251,11.152503,0,1
4,40,1111,14.75,1111,13.606257,2.52903,9.096517,1,0
5,40,0100,11.987654,1101,9.076871,2.595229,4.380531,0,1
6,40,0000,21.67867,1000,18.923765,2.950213,13.459772,0,1
